Company,Industry Sector,Current Ratio,Quick Ratio,Cash Ratio,Free Cash Flow Margin,Revenue Growth Year over Year,Common Equity to Tot Assets,Long Term Assets as % Total Assets,EBIT/Interest,Total Debt to Total Assets,Tot Debt to Common Equity,Cashflow to Total Liabilities,Free Cash Flow to Total Debt,Gross Margin,Operating Margin,Profit Margin,Net Income Margin Adjusted,Return on Assets,Return on Common Equity,Inventory Turnover,Accounts Receivable Turnover,Accounts Payable Turnover,Net Fixed Asset Turnover,Gross Fixed Asset Turnover,Asset Turnover,Sales per Employee,Operating Profit Per Employee,Cash Conversion Cycle
TGTX UR Equity,"Consumer, Non-cyclical",6.987002307,6.914886813,6.914886813,-141357.8947,0,83.01073138,2.222037523,-43.22863012,6.70926824,8.082410706,-201.8091672,-5.061558986,#N/A N/A,-179996.0526,-183803.2895,-172888.8158,-70.84964801,-100.1424821,#N/A N/A,#N/A N/A,#N/A N/A,0.015608153,#N/A N/A,0.000385466,558.8235294,-1005856.618,#N/A N/A
VSTO UN Equity,"Consumer, Cyclical",2.873968894,1.378393278,0.127178244,3.017135086,-14.70259331,31.80539773,49.03927221,-3.397772679,42.86126031,134.7609632,8.088774684,0.736007095,20.43236661,-7.506417043,-8.832026954,0.437483164,3.755168669,9.145684265,4.415644584,6.584205089,14.40193863,7.761491795,#N/A N/A,1.335623155,399061.5909,#N/A N/A,130.7968904
QNST UW Equity,Communications,2.16191153,2.003576546,1.252478535,9.309069848,7.730350607,71.41155167,48.22310948,8.915229885,3.600655121,5.042118588,46.4636015,4.764514932,10.70177979,1.265451045,3.691731639,2.070263642,8.103268426,11.9109175,#N/A N/A,7.379724464,12.8258335,28.7573503,#N/A N/A,1.378099067,828275.3378,#N/A N/A,#N/A N/A
SOLY UR Equity,"Consumer, Non-cyclical",11.43652482,11.19042553,11.19042553,#N/A N/A,#N/A N/A,91.65705157,4.585663146,#N/A N/A,0,0,-407.6950355,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-61.95308408,#N/A N/A,0,#N/A N/A,0.300904162,0,0,0,0,#N/A N/A,#N/A N/A
CRMD UQ Equity,"Consumer, Non-cyclical",11.57784646,11.13828512,11.13747845,-9229.68846,-15.54545904,41.69096633,2.283862821,-819.2605791,2.094649252,5.024228116,-431.9838924,-21.33182422,14.37313726,-11378.43841,-9207.704269,-9207.704269,-55.91903038,#N/A N/A,0.849936415,141.0554245,0.009241845,0.381865575,#N/A N/A,0.006073044,6835.171429,-777735.7714,-39173.24548
CSOD UW Equity,Technology,0.754617507,0.626786309,0.25624633,12.3022043,28.51456056,12.59617281,78.87100394,-0.500682366,59.17011818,469.7467959,5.195597351,0.089649707,69.36035934,-4.258377468,-5.396293237,-3.925006343,-2.57892649,-18.711332,#N/A N/A,4.20299178,86.86206237,6.855255366,4.453556938,0.477907033,255488.2759,-10879.65517,#N/A N/A
CGNT UW Equity,Technology,1.82891636,1.385915674,0.741612392,11.702898,5.455866747,55.21524361,36.38156726,56.78378378,5.050732135,9.147350993,19.19929131,#N/A N/A,64.12124898,5.975161285,4.417108392,4.417108392,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,215719.2072,#N/A N/A,69.3471309
MEIP UR Equity,"Consumer, Non-cyclical",8.953141092,7.836852043,7.836852043,115.3944592,488.2604273,37.29497254,0.516859933,#N/A N/A,0,0,26.04973006,5.985886403,90.761941,-84.8753156,-159.153322,-158.533082,-23.37797643,-48.21631086,#N/A N/A,#N/A N/A,0.545793087,7.745323461,#N/A N/A,0.255632908,566921.5686,#N/A N/A,#N/A N/A
MNKD UQ Equity,"Consumer, Non-cyclical",1.078298623,0.966325215,0.909097076,-50.52192067,3.340842032,-166.1194387,26.82307012,-5.058916693,112.5117339,#N/A N/A,-9.731962758,-0.254605802,62.17456711,-73.54936755,-87.86687953,-85.25594069,-56.57999437,#N/A N/A,5.398992112,16.85267106,4.909651914,2.474840916,0.53215918,0.643928573,271433.3333,-182979.1667,14.96101974
CLF UN Equity,Basic Materials,1.808808467,0.437350632,0.038238307,-14.68061263,169.0452261,12.03267545,68.40975493,#N/A N/A,35.71045257,296.7789891,-1.906222612,-0.131056938,4.7067613,-2.652222637,-2.278670153,-2.887560702,-1.203452528,-10.26936027,2.461712907,8.477909739,9.743099548,1.003335832,0.808486862,0.528118372,214160,-5688,154.2788438
CELH UR Equity,"Consumer, Non-cyclical",1.930372551,1.200987026,0.865357596,1.272199523,73.96112524,70.21179361,43.00992841,-2.554532644,10.53658487,15.006859,3.840502596,0.537084678,41.65436027,-1.927491118,6.520404159,0.777205555,5.614123413,6.995128296,5.357218317,7.108444313,14.04905525,204.5739316,117.9588725,1.176925235,626221.2167,#N/A N/A,103.5042931
CUTR UW Equity,"Consumer, Non-cyclical",1.955480334,1.269527944,0.865502778,-12.33249595,-18.7268865,42.85294539,19.91742822,#N/A N/A,16.85790271,39.33895921,-22.32475973,-0.718358956,51.30719176,-15.45743247,-16.16773765,-13.52989447,-19.3750989,-46.44336815,2.303769082,6.787214486,6.866436058,9.880444236,6.041810706,1.198380337,457222.9102,-70674.9226,159.4922487
BIG UN Equity,"Consumer, Cyclical",1.584800085,0.559207055,0.559207055,4.260704551,16.45644145,31.64849302,60.72112823,77.64917052,42.8930831,135.5296224,14.47165202,0.349295261,40.28570848,13.81710437,10.14957448,4.657122403,17.41334509,59.26831968,3.97709448,#N/A N/A,9.581440862,2.806570229,1.773606838,1.715672428,573998.7037,79310,#N/A N/A
CYRX UR Equity,Industrial,4.202084523,3.560651057,2.664677327,-30.22262885,131.8550228,68.76367882,73.36066835,-11.72265625,23.69982169,34.46561047,-8.759803662,-0.16883722,46.17007218,-38.1340856,-41.54340754,-29.7259327,-9.500080475,-29.64798262,7.695903728,4.090748503,3.834560165,2.606982422,1.966764705,0.228675674,125913.6,-48017.7744,41.58045388
CDXS UW Equity,Basic Materials,7.382530723,6.522437052,5.969216605,-29.26899907,0.873528295,76.74535069,16.79389657,#N/A N/A,11.25713976,14.66817164,-31.9422618,-0.697206525,80.10020853,-34.63855422,-34.76888323,-34.76888323,-12.95320715,-17.42253828,20.58726592,6.044553372,5.127884099,2.191801692,1.065374854,0.372551717,381524.8619,-132154.6961,6.953891233
HROW UQ Equity,"Consumer, Non-cyclical",3.716177424,3.261227891,3.014723586,-4.014650815,-4.483533666,47.2961687,30.17538365,#N/A N/A,40.945471,86.57249016,-3.589375449,-0.038669103,70.40576211,0.787788259,-6.869104377,-3.702379734,-5.76017296,-12.2308449,3.982651797,20.92528367,2.736385019,4.215561114,2.761229448,0.838562445,390968,3080,-24.36373657
CYTK UW Equity,"Consumer, Non-cyclical",15.1998782,15.01586589,14.87419469,-3.777674285,107.7862141,21.24060749,11.16179564,-5.88504667,26.02795413,122.5386522,2.127158556,0.033043516,#N/A N/A,-168.2721932,-228.003869,-228.003869,-30.90999822,#N/A N/A,#N/A N/A,11.65146614,#N/A N/A,3.098113208,1.31551911,0.135567867,303413.0435,-510559.7826,#N/A N/A
NEXI UQ Equity,"Consumer, Non-cyclical",#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DBTX UW Equity,"Consumer, Non-cyclical",2.984825023,2.867089914,2.803241458,#N/A N/A,#N/A N/A,-177.26685,14.05513859,#N/A N/A,0,#N/A N/A,-112.7213115,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TLIS UQ Equity,"Consumer, Non-cyclical",5.9715135,5.351498638,5.351498638,-626.2006538,175.0314307,-159.5733105,6.318734699,#N/A N/A,0,#N/A N/A,-590.7236523,#N/A N/A,#N/A N/A,-671.3351773,-833.1504845,663.364345,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SAIA UW Equity,Industrial,0.985283985,0.878344466,0.091777454,4.280314712,1.994196117,62.06767417,82.45735014,34.83117636,12.04217013,19.40167775,52.6216795,0.418233194,31.99587789,9.894883904,7.591230302,7.4816409,9.333212345,15.5743214,#N/A N/A,8.82463234,14.32681703,1.514705778,0.944703195,1.229472954,171921.3208,17011.41509,#N/A N/A
PRTK UQ Equity,"Consumer, Non-cyclical",6.851626101,5.721204025,5.225316244,-221.2087631,183.631528,-57.82203299,7.2014611,-3.730434783,142.5013995,#N/A N/A,-37.0545263,-0.407201073,81.5638053,-160.9069986,-205.7390674,-201.7523655,-45.11978539,#N/A N/A,#N/A N/A,4.611015575,#N/A N/A,13.97587491,7.927690488,0.219305871,239408.1633,-385224.4898,538.8860636
EEX UN Equity,"Consumer, Non-cyclical",3.047577855,2.820069204,2.55449827,-29.82731554,-64.6993627,-0.530349014,66.58763278,-32.55339806,51.09066768,#N/A N/A,-5.622063949,-0.070540189,54.78806907,-526.3736264,-497.3312402,9.946306282,-50.16428487,#N/A N/A,#N/A N/A,2.806167401,#N/A N/A,6.009433962,4.834914611,0.100866949,235055.3506,-1237269.373,#N/A N/A
M UN Equity,"Consumer, Cyclical",1.15437745,0.364943065,0.313421691,1.718516881,-28.55789349,14.41884107,65.07398622,-15.27303754,46.56048797,322.9142186,4.282980268,0.037724406,32.11029452,-24.72785545,-21.79366746,-4.088182495,-20.28396522,-88.30907055,2.741798706,52.84087591,3.942701723,1.997681991,1.345026197,0.93101497,239027.354,-59119.5467,47.32607109
GTS UN Equity,"Consumer, Non-cyclical",1.591470894,0.515158561,0.515158561,5.427277462,10.53544354,31.35035478,35.72719107,10.32995242,2.258761605,7.204899662,12.1573102,2.866571101,20.02275433,2.238929721,1.82352202,1.644396786,2.274800228,7.027788891,#N/A N/A,#N/A N/A,#N/A N/A,30.20674135,12.19663519,1.24747615,942105.0882,21139.09486,#N/A N/A
GOSS UW Equity,"Consumer, Non-cyclical",13.51415265,13.26333765,13.26333765,#N/A N/A,#N/A N/A,59.44834669,3.17203434,-18.4716564,34.06020766,57.29378454,-80.62208284,-0.968056735,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-50.38316338,-72.30279469,#N/A N/A,#N/A N/A,0,0,0,0,0,-1199805.128,#N/A N/A
ACTG UW Equity,"Consumer, Non-cyclical",3.644701,3.597976221,3.593922254,-66.54690753,164.8230482,49.93230137,11.75570298,-3.295289549,22.73490844,45.53146524,-9.251793065,-0.16922775,75.32402122,-65.53622994,380.9146464,374.100094,30.92461165,55.78686493,#N/A N/A,58.56833825,5.279454023,26.89119639,#N/A N/A,0.081185147,1489100,-975900,#N/A N/A
TGNA UN Equity,Communications,1.585652148,1.394997348,0.096582778,25.85751826,27.75750523,30.05088996,90.17924426,4.141734904,53.5109953,178.067922,16.85911781,0.207278855,48.8291499,29.64762508,16.43342932,16.20645521,6.995426611,26.46466795,#N/A N/A,5.188040829,27.34666145,5.079452353,2.640883908,0.425682703,456886.4697,135455.9876,#N/A N/A
NPTN UN Equity,Communications,2.652222372,1.891583356,1.382351617,11.06252509,4.024338292,55.73897622,27.21433338,3.016920474,15.51269217,27.83096,38.34367605,0.881375849,27.77270364,0.960763869,-1.176302595,0.461650386,-1.326360271,-2.56361325,5.71412433,6.490225222,5.25113377,4.186269202,1.416282384,1.127567241,309302.5,2971.666667,50.74507126
EB UN Equity,Communications,2.178720349,2.053306616,2.051448876,-153.9290229,-67.56252276,39.66041838,32.49426595,-8.064752298,28.03710011,70.69290051,-32.67814035,-0.731436614,41.20144143,-187.0460163,-211.986114,-192.8356602,-28.02494232,-60.62097123,#N/A N/A,62.54041298,0.247696104,3.147680202,1.202195584,0.132201783,173495.9083,-324517.1849,#N/A N/A
VCRA UN Equity,Technology,3.680348182,3.40113677,2.838263035,11.40106844,9.927368823,44.49524484,26.625715,-0.43607013,31.75671856,71.37103902,11.89433361,0.198493726,64.8205826,-2.055740349,-4.866444915,-4.858381212,-2.484574334,-5.60026215,9.474448592,4.499319728,16.45443632,14.68200821,6.451214358,0.510552236,288401.1628,-5928.77907,97.7326055
LMAT UQ Equity,"Consumer, Non-cyclical",3.748777093,1.85046729,1.072897196,24.59533417,10.35041627,68.26154029,62.71389581,21.97557252,21.66726,31.74153397,43.37097136,0.668638297,65.40976764,22.25314225,16.40307345,4.887049147,9.620288745,13.23301519,1.057347416,7.162329753,20.14245698,4.230135374,2.612900294,0.58649306,321007.4442,71434.24318,379.079353
MODV UW Equity,"Consumer, Non-cyclical",1.313667044,1.173892694,0.564372198,24.57011343,-9.355909888,28.86641752,70.08120411,#N/A N/A,36.30929797,125.7838731,34.35216104,0.649526113,21.17960802,8.998337808,6.490657022,7.03077802,8.78132392,8.902882877,#N/A N/A,7.234795525,118.101155,26.88684805,13.26859037,1.352917569,78210,7037.6,#N/A N/A
AQUA UN Equity,Utilities,1.990279069,1.297306576,0.552133427,4.890112043,-1.037425551,26.0317123,62.28095191,3.608414378,52.2770917,200.8207954,11.62350126,0.104905524,31.4667258,11.78406331,7.950507046,1.666732659,3.663797822,14.65981314,6.359968401,5.757512079,7.027220594,3.514620037,1.970993438,0.769324745,355586.0697,#N/A N/A,63.14445391
FNKO UW Equity,"Consumer, Cyclical",1.869924151,1.327305762,0.376759243,13.60183407,-17.93246823,31.72736678,66.03530691,#N/A N/A,34.32758417,108.1955033,24.30924073,0.382863705,38.18097671,3.607918018,0.607015388,0.835543103,0.507801959,1.693900504,6.618571417,4.605043737,11.18196013,5.374368393,2.948180477,0.836555331,839815.9588,30299.8713,102.0457232
GWRS UQ Equity,Utilities,1.89321172,1.628864315,1.455565421,14.07046884,8.897409151,11.3558748,91.7251136,1.364143574,40.46385933,356.3253386,5.797182202,0.04738696,75.30483858,18.989308,2.860693297,2.860693297,0.402139162,3.88673936,#N/A N/A,20.44838539,12.52659225,0.163519563,0.115910673,0.140574022,488949.3671,92848.10127,#N/A N/A
SAVA UR Equity,"Consumer, Non-cyclical",50.39892761,50.13726542,50.13726542,#N/A N/A,#N/A N/A,97.77306469,0.324496288,#N/A N/A,0.310710498,0.317787419,-256.2857143,152.3617747,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-10.75509823,-11.08321158,#N/A N/A,#N/A N/A,0,0,#N/A N/A,0,0,-586000,#N/A N/A
EVH UN Equity,Technology,1.35928956,1.170628629,0.857058234,-4.469534923,20.800276,45.220171,32.30439685,-9.550199386,26.25798706,58.0669787,-2.161647248,-0.127015451,31.40156861,-26.46862924,-32.69123747,-1.210446063,-23.30702183,-43.35345061,#N/A N/A,10.14051861,20.78032089,6.785301642,4.592758463,0.712944007,352563.1034,-94970,#N/A N/A
BE UN Equity,Industrial,1.417590753,0.793946519,0.565902878,-17.2124037,1.155153551,5.419740413,57.46634149,-1.025333486,30.32122812,559.459048,-7.524499406,-0.310006168,20.87423686,-10.17126914,-19.83677622,-18.16595845,-11.34708305,#N/A N/A,4.994369499,11.56605821,11.60371512,1.277635148,0.874914078,0.572022537,603531.155,-61386.77812,73.38521705
KDMN UW Equity,"Consumer, Non-cyclical",4.658851074,4.584744325,4.56116182,-1061.438224,62.66928361,49.91887407,15.61612685,-4870.52381,14.04953598,28.14473733,-187.4804549,-3.848293963,75.85666023,-1234.085425,-1314.10473,-1238.183518,-57.70102885,-103.8399312,5.393530997,10.05215282,0.146475771,0.419709323,0.221779211,0.043909003,65259.84252,-805362.2047,-2394.437585
SPRO UW Equity,"Consumer, Non-cyclical",9.701247996,8.847939762,8.847939762,-922.0685959,-48.58654323,86.04505673,9.322845729,#N/A N/A,5.107819434,5.936214849,-401.0648732,#N/A N/A,#N/A N/A,-847.9421222,-839.0139335,-839.0139335,-60.31885465,-75.77524914,#N/A N/A,#N/A N/A,#N/A N/A,1.171301237,0.946151506,0.071892554,104831.4607,-888910.1124,#N/A N/A
MESA UW Equity,"Consumer, Cyclical",0.440361026,0.320120795,0.281312442,27.15155852,-24.64716592,30.48470967,89.64059577,1.817021759,55.8073279,183.0666209,16.72893893,0.243490488,#N/A N/A,14.70765223,5.038618893,-7.053785752,1.988944781,6.676943223,#N/A N/A,25.87230921,#N/A N/A,0.37657788,0.295072641,0.330277724,170334.375,#N/A N/A,#N/A N/A
UNFI UN Equity,"Consumer, Non-cyclical",1.563207309,0.492470699,0.019827651,1.071000756,18.85831804,15.08829873,51.16738272,-0.982481429,48.22328328,319.6071614,7.083883009,0.15825364,14.61398876,-0.737772611,-1.033933919,0.94053922,2.615431035,17.01461705,10.61928461,24.40709953,15.10057898,10.33584774,#N/A N/A,3.556811155,936899.894,#N/A N/A,25.61089872
CONN UW Equity,"Consumer, Cyclical",3.986016925,2.306602883,0.045821606,29.3059649,-10.21328172,31.74520422,51.90754403,0.607649709,57.44329046,180.9510818,38.57615936,0.40289314,51.78189427,2.208762468,-0.226330694,0.118179687,-0.159893859,-0.529748762,3.211362288,2.405299546,10.93990044,3.178052572,2.0535666,0.706461226,338054.878,7466.829268,232.6788091
AQST UQ Equity,"Consumer, Non-cyclical",2.114528052,1.836713419,1.507155042,-100.2769962,-12.84951244,-77.12136633,29.0360028,-3.293887268,64.36931493,#N/A N/A,-40.81396288,-1.135826869,#N/A N/A,-93.55274924,-121.6667757,-121.6667757,-78.92164145,#N/A N/A,#N/A N/A,4.565496639,#N/A N/A,4.574150746,0.926532551,0.648670444,245181.8182,-229374.3316,#N/A N/A
EDIT UW Equity,"Consumer, Non-cyclical",7.199817894,7.012060198,6.908156954,-206.1069964,341.9268423,68.7363998,26.81007052,#N/A N/A,4.564252308,6.640226024,-100.4619699,-6.78224603,#N/A N/A,-148.6134991,-127.8225984,-127.8225984,-21.447507,-35.35729692,#N/A N/A,28.06433653,#N/A N/A,2.302959541,1.868932489,0.167791199,386093.617,-573787.234,#N/A N/A
WIFI UW Equity,Communications,0.5193347,0.462598838,0.275129698,-14.20039088,-9.998104553,14.14223241,86.68121475,#N/A N/A,33.00380413,233.3705398,14.66926023,-0.156880059,51.65279509,-3.840095023,-7.199599016,-6.385361559,-2.904636236,-19.67313115,#N/A N/A,7.775718076,5.766815568,0.58287127,0.30960991,0.403444168,608758.9744,#N/A N/A,#N/A N/A
SMPL UR Equity,"Consumer, Non-cyclical",3.641162316,2.596421276,1.340930076,7.002464975,56.03124289,61.38933354,87.04156698,2.383933197,31.08091085,50.62917133,7.598062604,0.140434893,39.71488084,9.578750026,4.249113135,9.235888423,3.07559958,5.081033189,6.48234552,10.69548603,13.85260215,35.59848169,36.12496682,0.444345331,2722136.667,260746.6667,48.77326637
AYTU UR Equity,"Consumer, Non-cyclical",2.64835135,1.881457849,1.698605529,-123.8556308,277.4690223,62.16800416,50.95029304,-8.106906346,8.623189918,13.87078455,-49.07191213,-3.062395327,72.6657168,-76.47106552,-49.29299206,-77.47715253,-18.49651926,-34.37864511,3.616616947,7.62968151,2.443128653,115.2671643,56.5234392,0.42852463,368427.7333,#N/A N/A,#N/A N/A
PRLB UN Equity,Industrial,4.81557687,4.369164644,3.217475226,13.80287526,-5.304450568,86.58324868,67.48176575,#N/A N/A,1.791041166,2.068576998,107.1318404,4.498386976,50.14491419,13.77456002,11.70984933,11.78441064,7.17512383,8.270075259,20.68758657,7.533274949,12.40186009,1.524048599,1.031082364,0.612742626,180396.5947,24848.83721,36.76451415
CTMX UW Equity,"Consumer, Non-cyclical",3.210465301,3.140154968,3.132248028,2.939359519,74.57600584,13.88573675,9.660879433,#N/A N/A,6.934085757,49.9367508,1.702713203,50.0885002,#N/A N/A,-48.42968454,-32.76638568,-32.76638568,-9.396452578,-65.17301518,#N/A N/A,247.5018496,#N/A N/A,3.227125838,2.427868158,0.286771103,696958.3333,-337534.7222,#N/A N/A
KRO UN Equity,Basic Materials,4.682167563,2.498462721,1.365488086,2.422504271,-5.331869909,39.10737958,40.1826484,6.326315789,25.1828939,64.39422473,8.264796001,0.077403003,21.43031486,7.334635099,3.899194533,3.98114474,3.193004372,7.925089917,2.519765166,5.797983372,10.50443191,3.062318976,1.01577463,0.818888195,730954.5049,53612.84567,173.5345912
